parameter_transformation[Simplex_recruitment_multipliers].simplex{1} parameter_transformation[Simplex_recruitment_multipliers].simplex{2} parameter_transformation[Simplex_recruitment_multipliers].simplex{3} parameter_transformation[Simplex_recruitment_multipliers].simplex{4} parameter_transformation[Simplex_recruitment_multipliers].simplex{5} parameter_transformation[Simplex_recruitment_multipliers].simplex{6} parameter_transformation[Simplex_recruitment_multipliers].simplex{7} parameter_transformation[Simplex_recruitment_multipliers].simplex{8} parameter_transformation[Simplex_recruitment_multipliers].simplex{9} parameter_transformation[Simplex_recruitment_multipliers].simplex{10} parameter_transformation[Simplex_recruitment_multipliers].simplex{11} parameter_transformation[Simplex_recruitment_multipliers].simplex{12} parameter_transformation[Simplex_recruitment_multipliers].simplex{13} parameter_transformation[Simplex_recruitment_multipliers].simplex{14} parameter_transformation[Simplex_recruitment_multipliers].simplex{15} parameter_transformation[Simplex_recruitment_multipliers].simplex{16} parameter_transformation[Simplex_recruitment_multipliers].simplex{17} parameter_transformation[Simplex_recruitment_multipliers].simplex{18} parameter_transformation[Simplex_recruitment_multipliers].simplex{19} parameter_transformation[Simplex_recruitment_multipliers].simplex{20} parameter_transformation[Simplex_recruitment_multipliers].simplex{21} parameter_transformation[Simplex_recruitment_multipliers].simplex{22} parameter_transformation[Simplex_recruitment_multipliers].simplex{23} parameter_transformation[Simplex_recruitment_multipliers].simplex{24} parameter_transformation[Simplex_recruitment_multipliers].simplex{25} parameter_transformation[Simplex_recruitment_multipliers].simplex{26} parameter_transformation[Simplex_recruitment_multipliers].simplex{27} parameter_transformation[Simplex_recruitment_multipliers].simplex{28} parameter_transformation[Simplex_recruitment_multipliers].simplex{29} parameter_transformation[Simplex_recruitment_multipliers].simplex{30} parameter_transformation[Simplex_recruitment_multipliers].simplex{31} parameter_transformation[Simplex_recruitment_multipliers].simplex{32} parameter_transformation[Simplex_recruitment_multipliers].simplex{33} parameter_transformation[Simplex_recruitment_multipliers].simplex{34} parameter_transformation[Simplex_recruitment_multipliers].simplex{35} parameter_transformation[Simplex_recruitment_multipliers].simplex{36} parameter_transformation[Simplex_recruitment_multipliers].simplex{37} parameter_transformation[Simplex_recruitment_multipliers].simplex{38} parameter_transformation[Simplex_recruitment_multipliers].simplex{39} parameter_transformation[Simplex_recruitment_multipliers].simplex{40} parameter_transformation[Simplex_recruitment_multipliers].simplex{41} parameter_transformation[Simplex_recruitment_multipliers].simplex{42} parameter_transformation[Simplex_recruitment_multipliers].simplex{43} parameter_transformation[Simplex_recruitment_multipliers].simplex{44} parameter_transformation[Simplex_recruitment_multipliers].simplex{45} catchability[NovemberTANq].q catchability[AprilTANq].q selectivity[NovemberTANSelM].mu selectivity[NovemberTANSelM].sigma_l parameter_transformation[invNovemberTANSelM].inverse_parameter selectivity[NovemberTANSelM].alpha selectivity[NovemberTANSelF].mu selectivity[NovemberTANSelF].sigma_l parameter_transformation[invNovemberTANSelF].inverse_parameter selectivity[AprilTANSelM].mu selectivity[AprilTANSelM].sigma_l parameter_transformation[invAprilTANSelM].inverse_parameter selectivity[AprilTANSelM].alpha selectivity[AprilTANSelF].mu selectivity[AprilTANSelF].sigma_l parameter_transformation[invAprilTANSelF].inverse_parameter observation[NovemberTANBiomass].process_error observation[AprilTANBiomass].process_error selectivity[SummerFisherySelM].a50 selectivity[SummerFisherySelM].ato95 selectivity[SummerFisherySelM].alpha selectivity[SummerFisherySelF].a50 selectivity[SummerFisherySelF].ato95 parameter_transformation[logRecruitment].log_parameter 
-0.888982 -0.699101 -0.412357 0.0312624 0.753884 0.00916671 2.17319 -0.127072 -0.0567673 0.614065 0.275671 -0.0641405 -0.181642 0.0855863 0.0290215 0.226607 0.703403 0.338408 0.666208 0.399692 0.509188 0.640451 0.635484 0.595614 0.700435 0.472993 -0.0320662 -0.00198517 -0.144309 0.203018 0.581254 0.515113 0.435365 0.189965 0.115165 0.0803226 -0.0884421 0.209316 -0.00849352 -0.427977 -0.295572 -0.243368 0.563714 0.239101 0.0240596 0.0789234 0.127097 3.69684 0.60227 0.00870422 0.465266 4.14984 0.815237 0.0088483 15.2119 5.42131 0.00887542 0.545266 12.2166 4.46936 0.00887997 0.225534 0.167143 6.62921 1.92511 1.77392 7.73088 2.82043 10.5 
-0.757517 -0.568946 -0.293427 0.105495 0.932164 0.0163156 2.18457 -0.126905 -0.0645907 0.556336 0.221777 -0.127856 -0.243282 0.0132095 -0.0336237 0.150345 0.61672 0.240283 0.562427 0.309679 0.412348 0.544535 0.545532 0.506142 0.606394 0.380661 -0.117806 -0.0844874 -0.221889 0.127311 0.507119 0.438935 0.358993 0.12441 0.0532648 0.0198603 -0.143587 0.170615 -0.0443256 -0.462185 -0.317887 -0.264825 0.558902 0.233076 0.00770897 0.0638972 0.101704 3.6875 0.599134 0.00809411 0.467168 4.10661 0.792722 0.00894789 14.5006 5.2468 0.00887556 0.526328 11.5278 4.2384 0.00888249 0.175926 0.168505 6.63843 1.9262 2.08303 7.53774 2.73034 10.65 
-0.63837 -0.452307 -0.189487 0.158141 1.06684 0.0234083 2.17427 -0.129194 -0.0772458 0.497619 0.164359 -0.18748 -0.302601 -0.057445 -0.0952781 0.0796539 0.53601 0.148963 0.467944 0.225978 0.324165 0.456793 0.460882 0.425927 0.522266 0.299011 -0.19289 -0.155036 -0.286754 0.0657142 0.448937 0.379601 0.30072 0.0756159 0.00886158 -0.0224028 -0.180657 0.146736 -0.0656347 -0.483285 -0.330227 -0.278891 0.557437 0.226866 -0.00729087 0.0528684 0.0840106 3.67854 0.596376 0.00874252 0.464506 4.08591 0.781634 0.00902945 13.889 5.08802 0.00821839 0.502903 11.0104 4.05518 0.00888509 0.14701 0.16962 6.62792 1.91466 2.32366 7.39172 2.66154 10.8 
-0.539266 -0.357148 -0.107054 0.194567 1.14986 0.0319336 2.14724 -0.136219 -0.0961073 0.438487 0.10695 -0.245007 -0.359764 -0.124743 -0.155651 0.0140242 0.460309 0.0643278 0.381454 0.147747 0.243049 0.376051 0.381664 0.353432 0.447086 0.227025 -0.258166 -0.214983 -0.340719 0.0154832 0.403285 0.333522 0.256607 0.0402046 -0.0224049 -0.0513405 -0.204279 0.133695 -0.0763154 -0.494505 -0.334333 -0.287394 0.559731 0.22206 -0.019679 0.0442822 0.070961 3.66883 0.593207 0.00876591 0.458534 4.07988 0.777993 0.00908956 13.3792 4.9474 0.00821868 0.479739 10.6343 3.91685 0.00888757 0.130843 0.171003 6.59868 1.8914 2.47295 7.28727 2.61122 10.95 
-0.469947 -0.292938 -0.0535871 0.218355 1.18101 0.042319 2.10836 -0.148827 -0.120848 0.38019 0.0523535 -0.299742 -0.413882 -0.186594 -0.21305 -0.0457925 0.39105 -0.0117792 0.304346 0.0766804 0.170183 0.304375 0.310588 0.290386 0.382665 0.166352 -0.312145 -0.26335 -0.383398 -0.0235157 0.369397 0.299761 0.225191 0.0166548 -0.0424772 -0.0691962 -0.217406 0.129247 -0.0790891 -0.498165 -0.332088 -0.291564 0.564996 0.219444 -0.0291646 0.0373059 0.060892 3.659 0.589919 0.0081501 0.450854 4.08233 0.778626 0.00912937 13.0278 4.85611 0.00887661 0.460273 10.3914 3.82725 0.00888973 0.12284 0.173089 6.5559 1.85995 2.53785 7.21466 2.57472 11.1 
-0.432955 -0.261296 -0.0292213 0.23268 1.17167 0.0545412 2.0634 -0.16579 -0.149152 0.325397 0.0022075 -0.349738 -0.4633 -0.241598 -0.265246 -0.0986257 0.329814 -0.0777669 0.238268 0.0149243 0.107167 0.243878 0.249972 0.238227 0.330199 0.11784 -0.354432 -0.300236 -0.415331 -0.0521791 0.345684 0.276563 0.204176 0.00242603 -0.0540091 -0.0788058 -0.223457 0.130572 -0.0771366 -0.497036 -0.326029 -0.292908 0.571823 0.218939 -0.0361537 0.0314964 0.0527311 3.65043 0.587156 0.00881331 0.443343 4.08838 0.781181 0.00843178 12.8482 4.82932 0.00887705 0.445284 10.2443 3.77316 0.00823081 0.120645 0.175931 6.50703 1.82525 2.54285 7.16497 2.54821 11.25 
-0.360644 -0.19028 0.0315918 0.250155 1.2511 0.0471423 2.09099 -0.151148 -0.138449 0.323293 -0.00294493 -0.357703 -0.47254 -0.263269 -0.284564 -0.111054 0.319362 -0.0827945 0.218545 -0.00334584 0.082093 0.216369 0.211621 0.211994 0.305092 0.0954346 -0.373025 -0.313837 -0.430879 -0.0622257 0.337831 0.270484 0.202008 -0.00157737 -0.0540787 -0.0716827 -0.211783 0.140722 -0.0583535 -0.485943 -0.317585 -0.28547 0.573307 0.218611 -0.0380195 0.0293693 0.0441193 3.63928 0.583638 0.00884553 0.413311 4.22828 0.853363 0.0421234 12.6279 4.80842 0.00887737 0.430385 10.027 3.70066 0.00889306 0.124398 0.176966 6.4528 1.78882 2.59421 7.07415 2.5054 11.4 
-0.42543 -0.262025 -0.0353684 0.241761 1.09567 0.0799331 1.97423 -0.202868 -0.205358 0.231386 -0.0821765 -0.433099 -0.545388 -0.330723 -0.35096 -0.182844 0.232414 -0.178967 0.138389 -0.0792625 0.0107805 0.155296 0.159475 0.163089 0.2565 0.0512698 -0.411165 -0.347893 -0.455992 -0.0877709 0.317691 0.25042 0.181159 -0.0107417 -0.0636518 -0.085404 -0.226242 0.139862 -0.0691369 -0.489897 -0.311408 -0.292393 0.585107 0.221441 -0.0452471 0.0226332 0.0399493 3.63555 0.582238 0.00885371 0.429585 4.10641 0.789626 0.00917749 12.6426 4.80819 0.00887783 0.422153 10.1018 3.71886 0.00823275 0.128407 0.182383 6.41574 1.76204 2.47971 7.10451 2.51287 11.55 
-0.370529 -0.206797 0.0132283 0.257456 1.17244 0.067128 2.01631 -0.184076 -0.186714 0.246064 -0.072007 -0.425945 -0.539675 -0.336127 -0.354127 -0.178493 0.242492 -0.163573 0.140276 -0.0777649 0.00442421 0.147575 0.138343 0.154583 0.248411 0.0454639 -0.414698 -0.347488 -0.45909 -0.0857269 0.320938 0.255473 0.188712 -0.00720547 -0.0557631 -0.070021 -0.210363 0.154968 -0.0481603 -0.475023 -0.301864 -0.280492 0.586266 0.225476 -0.0449069 0.0212619 0.0333345 3.62504 0.578956 0.00888442 0.399859 4.25561 0.866453 0.043429 12.4808 4.79888 0.00887803 0.411419 9.92035 3.65575 0.00889494 0.129683 0.183137 6.36368 1.72881 2.49532 7.03346 2.48063 11.7 
-0.386897 -0.225332 -0.00437709 0.256346 1.12876 0.0764258 1.98269 -0.199234 -0.20814 0.213977 -0.100417 -0.453734 -0.566875 -0.365048 -0.381798 -0.20508 0.212224 -0.194371 0.111105 -0.105494 -0.0248242 0.123029 0.111657 0.134177 0.228694 0.0284083 -0.428756 -0.358474 -0.468199 -0.0931792 0.315763 0.251313 0.184924 -0.00825126 -0.0554966 -0.0685513 -0.20963 0.161169 -0.0444448 -0.470567 -0.295474 -0.278599 0.591501 0.228796 -0.0472584 0.0181055 0.0289684 3.61953 0.577137 0.00889981 0.394994 4.26482 0.870814 0.0437029 12.4371 4.79746 0.00887829 0.404554 9.89443 3.6437 0.00823407 0.134666 0.186134 6.32883 1.70565 2.44841 7.02136 2.47233 11.85 
