parameter_transformation[Simplex_recruitment_multipliers].simplex{1} parameter_transformation[Simplex_recruitment_multipliers].simplex{2} parameter_transformation[Simplex_recruitment_multipliers].simplex{3} parameter_transformation[Simplex_recruitment_multipliers].simplex{4} parameter_transformation[Simplex_recruitment_multipliers].simplex{5} parameter_transformation[Simplex_recruitment_multipliers].simplex{6} parameter_transformation[Simplex_recruitment_multipliers].simplex{7} parameter_transformation[Simplex_recruitment_multipliers].simplex{8} parameter_transformation[Simplex_recruitment_multipliers].simplex{9} parameter_transformation[Simplex_recruitment_multipliers].simplex{10} parameter_transformation[Simplex_recruitment_multipliers].simplex{11} parameter_transformation[Simplex_recruitment_multipliers].simplex{12} parameter_transformation[Simplex_recruitment_multipliers].simplex{13} parameter_transformation[Simplex_recruitment_multipliers].simplex{14} parameter_transformation[Simplex_recruitment_multipliers].simplex{15} parameter_transformation[Simplex_recruitment_multipliers].simplex{16} parameter_transformation[Simplex_recruitment_multipliers].simplex{17} parameter_transformation[Simplex_recruitment_multipliers].simplex{18} parameter_transformation[Simplex_recruitment_multipliers].simplex{19} parameter_transformation[Simplex_recruitment_multipliers].simplex{20} parameter_transformation[Simplex_recruitment_multipliers].simplex{21} parameter_transformation[Simplex_recruitment_multipliers].simplex{22} parameter_transformation[Simplex_recruitment_multipliers].simplex{23} parameter_transformation[Simplex_recruitment_multipliers].simplex{24} parameter_transformation[Simplex_recruitment_multipliers].simplex{25} parameter_transformation[Simplex_recruitment_multipliers].simplex{26} parameter_transformation[Simplex_recruitment_multipliers].simplex{27} parameter_transformation[Simplex_recruitment_multipliers].simplex{28} parameter_transformation[Simplex_recruitment_multipliers].simplex{29} parameter_transformation[Simplex_recruitment_multipliers].simplex{30} parameter_transformation[Simplex_recruitment_multipliers].simplex{31} parameter_transformation[Simplex_recruitment_multipliers].simplex{32} parameter_transformation[Simplex_recruitment_multipliers].simplex{33} parameter_transformation[Simplex_recruitment_multipliers].simplex{34} parameter_transformation[Simplex_recruitment_multipliers].simplex{35} parameter_transformation[Simplex_recruitment_multipliers].simplex{36} parameter_transformation[Simplex_recruitment_multipliers].simplex{37} parameter_transformation[Simplex_recruitment_multipliers].simplex{38} parameter_transformation[Simplex_recruitment_multipliers].simplex{39} parameter_transformation[Simplex_recruitment_multipliers].simplex{40} parameter_transformation[Simplex_recruitment_multipliers].simplex{41} parameter_transformation[Simplex_recruitment_multipliers].simplex{42} parameter_transformation[Simplex_recruitment_multipliers].simplex{43} parameter_transformation[Simplex_recruitment_multipliers].simplex{44} parameter_transformation[Simplex_recruitment_multipliers].simplex{45} catchability[wcsiTAN].q observation[wcsiTANbio].process_error selectivity[wcsiTANselMale].a50 selectivity[wcsiTANselMale].ato95 selectivity[wcsiTANselFemale].a50 selectivity[wcsiTANselFemale].ato95 catchability[wcsiBLLq].q observation[wcsiBLLcpue].process_error catchability[wcsiTRLq].q observation[wcsiTRLcpue].process_error selectivity[wcsiTRLselMale].a50 selectivity[wcsiTRLselMale].ato95 selectivity[wcsiTRLselFemale].a50 selectivity[wcsiTRLselFemale].ato95 selectivity[wcsiLLNselMale].a50 selectivity[wcsiLLNselMale].ato95 selectivity[wcsiLLNselFemale].a50 selectivity[wcsiLLNselFemale].ato95 parameter_transformation[logRecruitment].log_parameter 
-1.45329 -1.3044 -1.12014 -0.864016 -0.492911 -0.110577 0.153522 -0.143909 -0.163746 -0.210732 -0.107075 -0.123258 0.164391 0.229579 0.186351 0.663249 0.0945545 0.348739 -0.0177279 0.139448 0.0436329 0.0951228 0.128483 0.090555 -0.0635643 0.370729 0.468453 0.302294 0.771574 0.665939 0.509566 0.583392 0.588087 0.578848 0.681118 0.439707 0.482291 0.827441 1.01758 0.93191 1.15905 0.988205 0.336198 0.422302 0.0533601 1 0.0189709 18.0695 8.01592 19.2007 7.8335 0.090552 0.139316 0.112306 0.177007 9.5738 4.21334 11.1031 5.21029 9.30748 1.73559 9.65284 1.64299 10.5 
-0.864447 -0.736944 -0.580848 -0.368792 -0.0611426 0.0693235 -0.125339 -0.282956 -0.248123 -0.224242 -0.0792547 0.00138015 0.26363 0.280759 0.255656 0.715954 0.105032 0.353905 -0.0402202 0.135374 0.111273 0.164005 0.139149 0.109381 -0.0483223 0.370168 0.516558 0.382022 0.809948 0.687312 0.574507 0.63671 0.579646 0.540041 0.5987 0.43476 0.559439 0.736419 0.752076 0.617255 0.579085 0.419147 0.0772831 0.354474 -0.00870907 0.437339 0.00905915 16.5681 8.50545 18.3442 8.73008 0.0886103 0.11914 0.0797587 0.157271 9.40798 4.47457 11.2584 5.90661 10.4974 2.77637 11.4145 3.22724 10.6 
-0.517737 -0.430299 -0.332581 -0.193145 -0.0091914 -0.0392874 -0.196887 -0.313933 -0.231351 -0.165577 -0.0026363 0.0677691 0.319327 0.308522 0.286427 0.717249 0.112421 0.349375 -0.0245896 0.160345 0.136337 0.173228 0.135895 0.106799 -0.0466379 0.375789 0.53267 0.395967 0.815572 0.689225 0.554473 0.593769 0.507901 0.457196 0.512977 0.351416 0.443343 0.563461 0.54983 0.399757 0.361184 0.23702 -0.0647212 0.283026 -0.0728412 0.185151 0.0100421 13.507 7.74648 15.8298 8.66291 0.0822886 0.115253 0.0577154 0.1314 8.92904 4.32276 10.8166 5.92999 11.3618 3.43955 12.6245 4.18623 10.7 
-0.326415 -0.270377 -0.211957 -0.110711 0.0136441 -0.0406143 -0.198574 -0.302435 -0.197657 -0.132283 0.0262774 0.0863379 0.332676 0.315507 0.28239 0.7218 0.105483 0.358261 -0.0271221 0.159628 0.131486 0.168313 0.129855 0.102822 -0.0394827 0.36533 0.526123 0.389057 0.788527 0.656217 0.505235 0.529452 0.426742 0.364383 0.412276 0.248141 0.333337 0.44794 0.443476 0.304655 0.272815 0.154896 -0.141835 0.23609 -0.11989 0.104188 0.0105188 11.3016 6.73268 13.8262 8.19312 0.0661844 0.118256 0.0444461 0.108087 8.5429 4.13336 10.3583 5.76415 11.5208 3.59811 12.7253 4.26572 10.8 
-0.177064 -0.155675 -0.130897 -0.0570862 0.0378867 -0.0185184 -0.1719 -0.271061 -0.164275 -0.0994643 0.0502135 0.102665 0.343777 0.322002 0.287333 0.725897 0.111556 0.358166 -0.0268061 0.152656 0.120139 0.156674 0.119664 0.0964128 -0.0396334 0.354995 0.518174 0.378301 0.768026 0.62694 0.465694 0.482476 0.369545 0.300673 0.34406 0.180953 0.262781 0.381978 0.381843 0.248445 0.214917 0.0959512 -0.199023 0.192996 -0.16307 0.0730529 0.0144261 10.1455 6.09886 12.7165 7.86813 0.0524721 0.126091 0.0355446 0.0878758 8.24031 3.9738 9.962 5.58413 11.4794 3.6242 12.5607 4.18878 10.9 
-0.0842401 -0.0813393 -0.0757586 -0.0145579 0.0777713 0.0197269 -0.135919 -0.239344 -0.128647 -0.0685721 0.0703945 0.118278 0.353781 0.331307 0.294382 0.734191 0.118658 0.361362 -0.0280936 0.143429 0.10794 0.145383 0.109476 0.0890332 -0.0410541 0.348077 0.515177 0.373721 0.75505 0.610928 0.44389 0.455702 0.339125 0.265222 0.304679 0.142982 0.226752 0.348105 0.348757 0.21817 0.183951 0.0621078 -0.232927 0.163957 -0.191501 0.0559152 0.0128352 9.42988 5.69075 11.9884 7.63237 0.0416711 0.134307 0.029131 0.072389 7.99686 3.84438 9.63058 5.42202 11.3215 3.58034 12.2664 4.03707 11 
-0.033574 -0.0352831 -0.0341017 0.0256484 0.118022 0.0573241 -0.0991295 -0.203823 -0.0955589 -0.0400604 0.0931641 0.134664 0.365261 0.346439 0.302864 0.742628 0.127982 0.362077 -0.0292246 0.133973 0.0947264 0.134037 0.0992007 0.0833154 -0.0420199 0.344473 0.51505 0.374445 0.750723 0.603553 0.433702 0.443354 0.324339 0.246494 0.282956 0.123119 0.209784 0.333154 0.335371 0.206886 0.171747 0.0456141 -0.2478 0.150358 -0.19708 0.0448047 0.0143399 8.94098 5.41385 11.4654 7.45666 0.0335685 0.142401 0.024268 0.0560314 7.7902 3.73173 9.34339 5.27476 11.1222 3.49446 11.9506 3.85715 11.1 
-0.0118639 -0.0198597 -0.021724 0.0382615 0.135386 0.0774594 -0.0797425 -0.190223 -0.0778656 -0.0300291 0.0987741 0.129843 0.363718 0.338409 0.297347 0.741026 0.121066 0.360239 -0.0386925 0.119415 0.0751599 0.109529 0.0737396 0.0564484 -0.0679809 0.317232 0.489693 0.352585 0.727061 0.579226 0.407051 0.416845 0.297227 0.218627 0.255083 0.0986517 0.189732 0.32 0.327993 0.204767 0.170517 0.0449096 -0.259937 0.13347 -0.205396 0.0381423 0.186063 8.72224 5.29538 11.2044 7.35196 0.0279421 0.152323 0.0206762 0.0678522 7.66323 3.66155 9.14488 5.15275 10.9856 3.42261 11.7102 3.69765 11.2 
-0.350666 -0.29038 -0.224346 -0.103162 0.0977225 0.159166 0.0693002 -0.011863 0.134371 0.158624 0.261307 0.252616 0.4605 0.400403 0.346363 0.773234 0.147582 0.373656 -0.0308517 0.107307 0.0465108 0.0725348 0.0413571 0.0363502 -0.067304 0.330042 0.518835 0.388296 0.788299 0.642831 0.469667 0.483791 0.37848 0.301427 0.335766 0.159892 0.245064 0.412632 0.444492 0.316579 0.27728 0.134974 -0.171725 0.197571 -0.154016 0.0310279 0.189772 8.33791 5.14662 10.7915 7.29304 0.00140206 2 0.0171101 2.28258e-06 7.43361 3.5591 8.85569 5.03739 9.4963 2.36446 9.88034 2.40541 11.3 
0.00125237 0.00854972 0.00885615 0.0725714 0.186319 0.144494 -0.012603 -0.136382 -0.0228369 0.0266748 0.139177 0.165582 0.394078 0.358275 0.326826 0.752124 0.135176 0.357965 -0.0425415 0.0999537 0.051119 0.0848631 0.0553989 0.043922 -0.0711288 0.310204 0.491375 0.357749 0.731064 0.580546 0.407045 0.415796 0.295367 0.213796 0.246272 0.0915908 0.183414 0.322229 0.329342 0.213178 0.174299 0.0379658 -0.26371 0.124247 -0.207701 0.027405 0.217459 8.23695 5.03887 10.6818 7.20747 0.0196834 0.16436 0.0151648 0.000411583 7.38799 3.50969 8.76235 4.95022 10.6723 3.265 11.2658 3.44325 11.4 
